genera	positive_size.sbp	positive_estimate.sbp	positive_p.value.sbp	positive_q.value.sbp	positivie_message.sbp	negative_size.sbp	negative_estimate.sbp	negative_p.value.sbp	negative_q.value.sbp	negative_message.sbp	positive_size.dbp	positive_estimate.dbp	positive_p.value.dbp	positive_q.value.dbp	positivie_message.dbp	negative_size.dbp	negative_estimate.dbp	negative_p.value.dbp	negative_q.value.dbp	negative_message.dbp	positive_size.sbp_sd	positive_estimate.sbp_sd	positive_p.value.sbp_sd	positive_q.value.sbp_sd	positivie_message.sbp_sd	negative_size.sbp_sd	negative_estimate.sbp_sd	negative_p.value.sbp_sd	negative_q.value.sbp_sd	negative_message.sbp_sd	positive_size.dbp_sd	positive_estimate.dbp_sd	positive_p.value.dbp_sd	positive_q.value.dbp_sd	positivie_message.dbp_sd	negative_size.dbp_sd	negative_estimate.dbp_sd	negative_p.value.dbp_sd	negative_q.value.dbp_sd	negative_message.dbp_sd
Oliverpabstia	1	1.35585824268304	0.336663336663337	0.978306541942906							1	1.07376627197176	0.483516483516484	0.999342537804076							1	0.976164112127746	0.523476523476524	0.994514257672152							1	1.12855578052909	0.434565434565435	0.941533713810941						
UMGS1264	1	1.32468908767883	0.342657342657343	0.978306541942906							1	1.44149444730455	0.277722277722278	0.999342537804076												1	0.308937109231335	0.849150849150849	0.994514257672152							1	0.355268911237429	0.821178821178821	0.993745385049733	
Lachnoclostridium B	1	1.30910451017673	0.350649350649351	0.978306541942906							1	1.85335000367728	0.044955044955045	0.846153846153846							1	1.70464479282009	0.137862137862138	0.85179106607678							1	1.27792345736383	0.366633366633367	0.941533713810941						
Evtepia	1	1.27793535517252	0.358641358641359	0.978306541942906							1	1.39736706626462	0.314685314685315	0.999342537804076							1	1.29669561163238	0.365634365634366	0.994514257672152							1	1.02897732930594	0.481518481518482	0.941533713810941						
Solibaculum	1	1.26235077767042	0.36963036963037	0.978306541942906							1	1.55916746341105	0.224775224775225	0.999342537804076							1	0.757619907920042	0.632367632367632	0.994514257672152							1	0.614067115876125	0.674325674325674	0.993745385049733						
Acetatifactor	2	1.19835813687043	0.376623376623377	0.978306541942906		1	0.708486248281922	0.659340659340659	0.978306541942906		2	0.891665716961325	0.608391608391608	0.999342537804076		1	1.0517272027019	0.486513486513487	0.999342537804076		3	1.49644588073311	0.10989010989011	0.826564739608218							3	1.24015906147478	0.281718281718282	0.941533713810941						
Ruthenibacterium	2	1.18622900593045	0.383616383616384	0.978306541942906		1	0.0425091748969153	0.978021978021978	0.992492887229729		3	0.65526843253875	0.804195804195804	1							2	0.973536159699289	0.562437562437563	0.994514257672152		1	1.38286134608312	0.320679320679321	0.994514257672152		1	0.979188103694361	0.503496503496504	0.941533713810941		2	0.958717588873013	0.56943056943057	0.941533713810941	
Romboutsia	1	1.21559704516411	0.398601398601399	0.978306541942906							1	0.809001985732147	0.606393606393606	0.999342537804076							1	0.932455271286206	0.541458541458542	0.994514257672152							1	0.514488664652969	0.741258741258741	0.993745385049733						
Lawsonibacter	2	1.1563829789002	0.402597402597403	0.978306541942906		2	0.627357556638784	0.768231768231768	0.978306541942906		1	1.69154960653085	0.138861138861139	0.999342537804076		3	0.912294631439653	0.606393606393606	0.999342537804076		3	1.6484173416036	0.048951048951049	0.806526806526806		1	0.250091945568224	0.875124875124875	0.994514257672152		1	1.06217014638032	0.468531468531469	0.941533713810941		3	0.243095889851454	0.972027972027972	0.993878073146366	
Agathobacter	3	1.10463974136984	0.403596403596404	0.978306541942906							2	1.10270446778681	0.44955044955045	0.999342537804076		1	0.992474965929964	0.512487512487513	0.999342537804076		3	1.06380268498207	0.448551448551449	0.994514257672152							3	1.10882859055662	0.41958041958042	0.941533713810941						
Mediterraneibacter A	1	1.13767415765359	0.435564435564436	0.978306541942906							1	0.867838493785394	0.584415584415584	0.999342537804076												1	0.0294225818315557	0.98001998001998	0.994514257672152		1	0.414910213429814	0.787212787212787	0.993745385049733						
Blautia A	10	1.02388936704239	0.464535464535465	0.978306541942906		6	0.607125590532712	0.879120879120879	0.978306541942906		12	0.624552238830544	0.913086913086913	1		4	1.03813289915655	0.47952047952048	0.999342537804076		12	0.939119882644118	0.562437562437563	0.994514257672152		4	0.255322754515148	0.98001998001998	0.994514257672152		10	0.957003396626006	0.543456543456544	0.941533713810941		6	0.468218414452164	0.937062937062937	0.993878073146366	
Clostridium Q	1	1.05975127014307	0.471528471528472	0.978306541942906							1	0.823711112745459	0.597402597402597	0.999342537804076							1	1.60265749752317	0.192807192807193	0.981048363401305							1	1.5600624024961	0.247752247752248	0.941533713810941						
Anaeromassilibacillus	1	1.04416669264096	0.480519480519481	0.978306541942906							1	1.17673016106494	0.427572427572428	0.999342537804076												1	1.61824200073557	0.186813186813187	0.979353979353979							1	0.970157411456057	0.51948051948052	0.941533713810941	
Hominisplanchenecus	1	1.02858211513886	0.490509490509491	0.978306541942906							1	0.220636905199676	0.889110889110889	1												1	0.0147112909157779	0.994005994005994	0.999785098622308		1	0.64725993295051	0.657342657342657	0.993745385049733						
Alistipes	1	1.01299753763675	0.4995004995005	0.978306541942906		5	1.14957202607768	0.340659340659341	0.978306541942906		1	1.20614841509157	0.420579420579421	0.999342537804076		5	1.09874617197977	0.395604395604396	0.999342537804076		2	0.677321075857576	0.748251748251748	0.994514257672152		4	0.646817644771709	0.838161838161838	0.994514257672152		2	0.159134466924238	0.969030969030969	0.993878073146366		4	1.10461298326097	0.407592407592408	0.941533713810941	
Mediterraneibacter	2	1.02799897957702	0.507492507492508	0.978306541942906		1	0.354243124140961	0.825174825174825	0.978306541942906		2	1.06685781575874	0.477522477522478	0.999342537804076		1	0.711026841263258	0.647352647352647	0.999342537804076		3	0.963425184478872	0.547452547452548	0.994514257672152							3	0.624415751232057	0.802197802197802	0.993745385049733						
